model,roc_auc,precision,recall,f1
Logistic Regression,0.8303252032520324,0.6375,0.68,0.6580645161290323
Random Forest,0.8295121951219513,0.6323529411764706,0.5733333333333334,0.6013986013986014
LightGBM,0.8091869918699188,0.589041095890411,0.5733333333333334,0.581081081081081
XGBoost,0.80130081300813,0.5833333333333334,0.56,0.5714285714285714
